Item Number ,Description 1 ,Type ,Trans ,ID ,Tran Date ,Time ,Date ,Op ,OP Desc ,Work Ctr ,WC Name ,Department ,Dept Name ,Milestone ,Shift ,Employee ,Site ,Line ,Qty Completed ,Std Run ,Act Run ,User ID 
22400,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,208","4,543,023",6/7/2023,15:29:49,6/1/2023,400,ROUGH MACH,"1,633",P3 BALL STUD RGH MACH'G,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,23,0.00568,0.131,shelleyj
22400,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,207","4,543,023",6/7/2023,15:29:42,6/1/2023,400,ROUGH MACH,"1,633",P3 BALL STUD RGH MACH'G,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,30,0.00568,0.17,shelleyj
22400,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,209","4,543,023",6/7/2023,15:29:57,6/1/2023,400,ROUGH MACH,"1,633",P3 BALL STUD RGH MACH'G,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,1,0.00568,0.006,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,213","4,543,366",6/7/2023,15:30:47,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,59,0.0059,0.348,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,215","4,543,366",6/7/2023,15:30:53,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,2,0.0059,0.012,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,216","4,543,366",6/7/2023,15:31:05,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,64,0.0059,0.378,shelleyj
1653274-03,I20 FLTA ASSEMBLY RH,BACKFLSH,"2,469,222","4,544,446",6/7/2023,15:32:39,6/3/2023,"13,499","ASB BUSHING, PROT","3,564",P3 BUSHING PRESS - BMW,"7,208",BMW Assembly,no,,tb,984,TIL,1,0.005,0.005,shelleyj
1653274-03,I20 FLTA ASSEMBLY RH,BACKFLSH,"2,469,223","4,544,446",6/7/2023,15:32:39,6/3/2023,"12,520",THERM CAL,"3,646",P3 THERM CALIBRATE OVEN,"7,208",BMW Assembly,no,,,984,TIL,1,0,0,shelleyj
1653274-03,I20 FLTA ASSEMBLY RH,BACKFLSH,"2,469,224","4,544,446",6/7/2023,15:32:39,6/3/2023,"12,535","TORQ CHK,ASB SEAL,WSHR","3,565","P3 TRQ CHK,SEAL ASB-BMW","7,208",BMW Assembly,no,,,984,TIL,1,0.005,0.005,shelleyj
1683199-03,G05 FLCA ASSEMBLY LH,BACKFLSH,"2,469,225","4,543,601",6/7/2023,15:32:53,6/3/2023,"13,499","ASB BUSHINGS,PROT","3,564",P3 BUSHING PRESS - BMW,"7,202",BMW F15 STL MACH'G,no,,tb,984,TIL,4,0.005,0.02,shelleyj
1683199-03,G05 FLCA ASSEMBLY LH,BACKFLSH,"2,469,226","4,543,601",6/7/2023,15:32:53,6/3/2023,"12,520",THERM CAL,"3,646",P3 THERM CALIBRATE OVEN,"7,208",BMW Assembly,no,,,984,TIL,4,0,0,shelleyj
1683199-03,G05 FLCA ASSEMBLY LH,BACKFLSH,"2,469,227","4,543,601",6/7/2023,15:32:53,6/3/2023,"12,535","TORQ CHK,ASB SEAL,WSHR","3,565","P3 TRQ CHK,SEAL ASB-BMW","7,208",BMW Assembly,no,,,984,TIL,4,0.005,0.02,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,278","4,543,366",6/7/2023,15:52:21,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,3,0.0059,0.018,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,279","4,543,366",6/7/2023,15:52:28,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,6,0.0059,0.035,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,280","4,543,366",6/7/2023,15:52:34,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,1,0.0059,0.006,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,281","4,543,366",6/7/2023,15:52:42,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,9,0.0059,0.053,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,282","4,543,366",6/7/2023,15:52:57,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,51,0.0059,0.301,shelleyj
22385,"G05 STUD M/C,HRDN,TMPR",BACKFLSH,"2,467,003","4,543,018",6/5/2023,1:48:50,6/4/2023,410,"IND HRDN,TMPR","1,631",P3 BALL STUD IH & TEMPER,"7,429",BMW Stud Mach/Ind Hrdn,yes,2,8921,984,TIL,"2,302.00",0.00455,10.474,rpauser
22385,"G05 STUD M/C,HRDN,TMPR",BACKFLSH,"2,467,004","4,543,018",6/5/2023,1:48:50,6/4/2023,404,TURN & BURN,"1,629",P3 BALL STUD TURN/BURN,"7,429",BMW Stud Mach/Ind Hrdn,no,2,,984,TIL,"2,302.00",0,0,rpauser
22385,"G05 STUD M/C,HRDN,TMPR",BACKFLSH,"2,467,005","4,543,018",6/5/2023,1:48:50,6/4/2023,405,THREAD,"1,630",P3 BALL STUD THREAD,"7,429",BMW Stud Mach/Ind Hrdn,no,2,,984,TIL,"2,302.00",0,0,rpauser
1653273,G05 FLTA BJ ASB LH,BACKFLSH,"2,467,006","4,543,019",6/5/2023,1:49:38,6/4/2023,510,"ASB BJ, PROT","3,556","P3ASB DIAL-DS,BMW F15(D3","7,208",BMW Assembly,yes,2,8921,984,TIL,199,0.0039,0.776,rpauser
1653274,G05 FLTA BJ ASB RH,BACKFLSH,"2,467,007","4,543,365",6/5/2023,1:50:26,6/4/2023,510,"ASB BJ, PROT","3,556","P3ASB DIAL-DS,BMW F15(D3","7,208",BMW Assembly,yes,2,8921,984,TIL,391,0.0039,1.525,rpauser
1683199,G05 FLCA BJ ASB LH,BACKFLSH,"2,467,008","4,543,020",6/5/2023,1:51:14,6/4/2023,510,"ASB BJ,PROT","3,652",P3 BJ/SEAL ASB,"7,208",BMW Assembly,yes,2,8921,984,TIL,"1,188.00",0.00441,5.239,rpauser
23412,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,009","4,543,022",6/5/2023,1:52:02,6/4/2023,404,TURN & BURN,"1,632",P3 ETA TB076 TURN/BURN,"7,329",KA/DR/T1/CD4 Stud Mach,yes,2,8921,984,TIL,832,0,0,rpauser
23412,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,010","4,543,022",6/5/2023,1:52:02,6/4/2023,400,ROUGH MACH,"1,636",P3 BALL STUD RGH MACH'G,"7,329",KA/DR/T1/CD4 Stud Mach,no,2,,984,TIL,832,0.00546,4.543,rpauser
22413,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,011","4,543,367",6/5/2023,1:52:49,6/4/2023,404,TURN & BURN,"1,632",P3 ETA TB076 TURN/BURN,"7,329",KA/DR/T1/CD4 Stud Mach,yes,2,8921,984,TIL,487,0,0,rpauser
22413,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,012","4,543,367",6/5/2023,1:52:49,6/4/2023,400,ROUGH MACH,"1,636",P3 BALL STUD RGH MACH'G,"7,329",KA/DR/T1/CD4 Stud Mach,no,2,,984,TIL,487,0.00656,3.195,rpauser
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,467,013","4,543,366",6/5/2023,1:53:37,6/4/2023,410,"IND HRDN,TMPR","1,635",P3 BALL STUD IH&EDDY C,"7,329",KA/DR/T1/CD4 Stud Mach,yes,2,8921,984,TIL,842,0.00314,2.644,rpauser
23412,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,014","4,543,022",6/5/2023,1:54:28,6/4/2023,405,THREAD,"2,020",P3 IZPE AUTO THREADER,"7,329",KA/DR/T1/CD4 Stud Mach,yes,2,8921,984,TIL,"1,644.00",0,0,rpauser
1273105-01,P708 KNUCKLE LBJ ASB,BACKFLSH,"2,467,015","4,543,368",6/5/2023,1:55:18,6/4/2023,535,ASB PROT & PACK,"3,623",P3 ASB DIAL-BALLJTS,"7,220",P708 Ball Joint Assembly,yes,2,8921,984,TIL,912,0.00255,2.326,rpauser
1273105-01,P708 KNUCKLE LBJ ASB,BACKFLSH,"2,467,016","4,543,368",6/5/2023,1:55:18,6/4/2023,520,ASB BALLJOINT,"3,623",P3 ASB DIAL-BALLJTS,"7,220",P708 Ball Joint Assembly,no,2,,984,TIL,912,0.00255,2.326,rpauser
1682199,G05 FLCA MACH'D LH,BACKFLSH,"2,467,017","4,543,024",6/5/2023,1:56:07,6/4/2023,400,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,yes,2,8921,984,TIL,172,0.01006,1.73,rpauser
1682199,G05 FLCA MACH'D LH,BACKFLSH,"2,467,018","4,543,024",6/5/2023,1:56:07,6/4/2023,399,MACH'G LBR,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,no,2,,984,TIL,172,0.00503,0.865,rpauser
1682200,G05 FLCA MACH'D RH,BACKFLSH,"2,467,019","4,543,025",6/5/2023,1:56:55,6/4/2023,400,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,yes,2,8921,984,TIL,172,0.01006,1.73,rpauser
1682200,G05 FLCA MACH'D RH,BACKFLSH,"2,467,020","4,543,025",6/5/2023,1:56:55,6/4/2023,399,MACH'G LBR,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,no,2,,984,TIL,172,0.00503,0.865,rpauser
1652273,G05 FLTA MACH'D LH,BACKFLSH,"2,467,021","4,543,026",6/5/2023,1:57:47,6/4/2023,400,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,yes,2,8921,984,TIL,318,0.00836,2.658,rpauser
1652273,G05 FLTA MACH'D LH,BACKFLSH,"2,467,022","4,543,026",6/5/2023,1:57:47,6/4/2023,399,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,no,2,,984,TIL,318,0.00418,1.329,rpauser
1652274,G05 FLTA MACH'D RH,BACKFLSH,"2,467,023","4,543,027",6/5/2023,1:58:36,6/4/2023,400,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,yes,2,8921,984,TIL,318,0.00836,2.658,rpauser
1652274,G05 FLTA MACH'D RH,BACKFLSH,"2,467,024","4,543,027",6/5/2023,1:58:36,6/4/2023,399,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,no,2,,984,TIL,318,0.00418,1.329,rpauser
1653283-03,F95 FLTA ASSEMBLY LH,BACKFLSH,"2,467,025","4,544,101",6/5/2023,1:59:24,6/4/2023,"13,500",APPLY LABEL & PACK,"3,564",P3 BUSHING PRESS - BMW,"7,208",BMW Assembly,yes,2,8921,984,TIL,91,0.005,0.455,rpauser
1653283-03,F95 FLTA ASSEMBLY LH,BACKFLSH,"2,467,026","4,544,101",6/5/2023,1:59:24,6/4/2023,"12,520",THERM CAL,"3,646",P3 THERM CALIBRATE OVEN,"7,208",BMW Assembly,no,2,,984,TIL,91,0,0,rpauser
1653283-03,F95 FLTA ASSEMBLY LH,BACKFLSH,"2,467,027","4,544,101",6/5/2023,1:59:24,6/4/2023,"12,535","TORQ CHK,ASB SEAL,WSHR","3,565","P3 TRQ CHK,SEAL ASB-BMW","7,208",BMW Assembly,no,2,,984,TIL,91,0.005,0.455,rpauser
1653283-03,F95 FLTA ASSEMBLY LH,BACKFLSH,"2,467,028","4,544,101",6/5/2023,1:59:24,6/4/2023,"13,499","ASB BUSHING, PROT","3,564",P3 BUSHING PRESS - BMW,"7,208",BMW Assembly,no,2,,984,TIL,91,0.005,0.455,rpauser
1653284-03,F95 FLTA ASSEMBLY RH,BACKFLSH,"2,467,029","4,544,102",6/5/2023,2:00:12,6/4/2023,"13,500",APPLY LABEL & PACK,"3,564",P3 BUSHING PRESS - BMW,"7,208",BMW Assembly,yes,2,8921,984,TIL,91,0.005,0.455,rpauser
1653284-03,F95 FLTA ASSEMBLY RH,BACKFLSH,"2,467,030","4,544,102",6/5/2023,2:00:12,6/4/2023,"12,520",THERM CAL,"3,646",P3 THERM CALIBRATE OVEN,"7,208",BMW Assembly,no,2,,984,TIL,91,0,0,rpauser
1653284-03,F95 FLTA ASSEMBLY RH,BACKFLSH,"2,467,031","4,544,102",6/5/2023,2:00:12,6/4/2023,"12,535","TORQ CHK,ASB SEAL,WSHR","3,565","P3 TRQ CHK,SEAL ASB-BMW","7,208",BMW Assembly,no,2,,984,TIL,91,0.005,0.455,rpauser
1653284-03,F95 FLTA ASSEMBLY RH,BACKFLSH,"2,467,032","4,544,102",6/5/2023,2:00:13,6/4/2023,"13,499","ASB BUSHING, PROT","3,564",P3 BUSHING PRESS - BMW,"7,208",BMW Assembly,no,2,,984,TIL,91,0.005,0.455,rpauser
1653297-04,G05 FLTA ASSEMBLY LH,BACKFLSH,"2,467,033","4,543,414",6/5/2023,2:01:01,6/4/2023,"13,500",APPLY LABEL & PACK,"3,564",P3 BUSHING PRESS - BMW,"7,208",BMW Assembly,yes,2,8921,984,TIL,928,0.005,4.64,rpauser
1653297-04,G05 FLTA ASSEMBLY LH,BACKFLSH,"2,467,034","4,543,414",6/5/2023,2:01:01,6/4/2023,"12,520",THERM CAL,"3,646",P3 THERM CALIBRATE OVEN,"7,208",BMW Assembly,no,2,,984,TIL,928,0,0,rpauser
1653297-04,G05 FLTA ASSEMBLY LH,BACKFLSH,"2,467,035","4,543,414",6/5/2023,2:01:01,6/4/2023,"12,535","TORQ CHK,ASB SEAL,WSHR","3,565","P3 TRQ CHK,SEAL ASB-BMW","7,208",BMW Assembly,no,2,,984,TIL,928,0.005,4.64,rpauser
1653297-04,G05 FLTA ASSEMBLY LH,BACKFLSH,"2,467,036","4,543,414",6/5/2023,2:01:01,6/4/2023,"13,499","ASB BUSHING, PROT","3,564",P3 BUSHING PRESS - BMW,"7,208",BMW Assembly,no,2,,984,TIL,928,0.005,4.64,rpauser
1653298-04,G05 FLTA ASSEMBLY RH,BACKFLSH,"2,467,037","4,543,036",6/5/2023,2:01:49,6/4/2023,"13,500",APPLY LABEL & PACK,"3,564",P3 BUSHING PRESS - BMW,"7,208",BMW Assembly,yes,2,8921,984,TIL,1,0.005,0.005,rpauser
1653298-04,G05 FLTA ASSEMBLY RH,BACKFLSH,"2,467,038","4,543,036",6/5/2023,2:01:49,6/4/2023,"12,520",THERM CAL,"3,646",P3 THERM CALIBRATE OVEN,"7,208",BMW Assembly,no,2,,984,TIL,1,0,0,rpauser
1653298-04,G05 FLTA ASSEMBLY RH,BACKFLSH,"2,467,039","4,543,036",6/5/2023,2:01:49,6/4/2023,"12,535","TORQ CHK,ASB SEAL,WSHR","3,565","P3 TRQ CHK,SEAL ASB-BMW","7,208",BMW Assembly,no,2,,984,TIL,1,0.005,0.005,rpauser
1653298-04,G05 FLTA ASSEMBLY RH,BACKFLSH,"2,467,040","4,543,036",6/5/2023,2:01:49,6/4/2023,"13,499","ASB BUSHING, PROT","3,564",P3 BUSHING PRESS - BMW,"7,208",BMW Assembly,no,2,,984,TIL,1,0.005,0.005,rpauser
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,210","4,543,366",6/7/2023,15:30:15,6/4/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,26,0.0059,0.153,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,211","4,543,366",6/7/2023,15:30:27,6/4/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,49,0.0059,0.289,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,212","4,543,366",6/7/2023,15:30:34,6/4/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,8,0.0059,0.047,shelleyj
1683200-03,G05 FLCA ASSEMBLY RH,BACKFLSH,"2,469,231","4,543,037",6/7/2023,15:35:01,6/4/2023,"12,535","TORQ CHK,ASB SEAL,WSHR","3,565","P3 TRQ CHK,SEAL ASB-BMW","7,202",BMW F15 STL MACH'G,no,,tb,984,TIL,9,0.005,0.045,shelleyj
1683200-03,G05 FLCA ASSEMBLY RH,BACKFLSH,"2,469,232","4,543,037",6/7/2023,15:35:01,6/4/2023,"12,520",THERM CAL,"3,646",P3 THERM CALIBRATE OVEN,"7,208",BMW Assembly,no,,,984,TIL,9,0,0,shelleyj
1653297-04,G05 FLTA ASSEMBLY LH,BACKFLSH,"2,469,241","4,543,414",6/7/2023,15:40:33,6/4/2023,"12,535","TORQ CHK,ASB SEAL,WSHR","3,565","P3 TRQ CHK,SEAL ASB-BMW","7,208",BMW Assembly,no,,tb,984,TIL,1,0.005,0.005,shelleyj
1653297-04,G05 FLTA ASSEMBLY LH,BACKFLSH,"2,469,242","4,543,414",6/7/2023,15:40:33,6/4/2023,"12,520",THERM CAL,"3,646",P3 THERM CALIBRATE OVEN,"7,208",BMW Assembly,no,,,984,TIL,1,0,0,shelleyj
1272097,P708 TBR BJ MACH'D,BACKFLSH,"2,467,285","4,543,015",6/5/2023,7:56:13,6/5/2023,400,"MACH OD,FLANGE,ROLLOVER","1,639",P3 OKUMA 2SP 150H BJ MCH,"7,218",P708 Shell Machining,yes,1,8921,984,TIL,548,0.0046,2.521,rpauser
1272105,P708 KNUCKLE BJ MACH'D,BACKFLSH,"2,467,286","4,543,016",6/5/2023,7:57:02,6/5/2023,400,"MACH ID, OD SEAL GROOVE","1,639",P3 OKUMA 2SP 150H BJ MCH,"7,218",P708 Shell Machining,yes,1,8921,984,TIL,129,0.0046,0.593,rpauser
1272106,P708 KNUCKLE LBJ MACH'D,BACKFLSH,"2,467,287","4,543,852",6/5/2023,7:57:50,6/5/2023,400,"MACH ID, OD SEAL GROOVE","1,639",P3 OKUMA 2SP 150H BJ MCH,"7,218",P708 Shell Machining,yes,1,8921,984,til,588,0.0046,2.705,rpauser
22385,"G05 STUD M/C,HRDN,TMPR",BACKFLSH,"2,467,288","4,543,018",6/5/2023,7:58:37,6/5/2023,410,"IND HRDN,TMPR","1,631",P3 BALL STUD IH & TEMPER,"7,429",BMW Stud Mach/Ind Hrdn,yes,1,8921,984,TIL,"3,144.00",0.00455,14.305,rpauser
22385,"G05 STUD M/C,HRDN,TMPR",BACKFLSH,"2,467,289","4,543,018",6/5/2023,7:58:37,6/5/2023,404,TURN & BURN,"1,629",P3 BALL STUD TURN/BURN,"7,429",BMW Stud Mach/Ind Hrdn,no,1,,984,TIL,"3,144.00",0,0,rpauser
22385,"G05 STUD M/C,HRDN,TMPR",BACKFLSH,"2,467,290","4,543,018",6/5/2023,7:58:37,6/5/2023,405,THREAD,"1,630",P3 BALL STUD THREAD,"7,429",BMW Stud Mach/Ind Hrdn,no,1,,984,TIL,"3,144.00",0,0,rpauser
1653274,G05 FLTA BJ ASB RH,BACKFLSH,"2,467,291","4,543,365",6/5/2023,7:59:25,6/5/2023,510,"ASB BJ, PROT","3,556","P3ASB DIAL-DS,BMW F15(D3","7,208",BMW Assembly,yes,1,8921,984,TIL,491,0.0039,1.915,rpauser
1683199,G05 FLCA BJ ASB LH,BACKFLSH,"2,467,292","4,543,020",6/5/2023,8:00:13,6/5/2023,510,"ASB BJ,PROT","3,652",P3 BJ/SEAL ASB,"7,208",BMW Assembly,yes,1,8921,984,TIL,35,0.00441,0.154,rpauser
1683200,G05 FLCA BJ ASB RH,BACKFLSH,"2,467,293","4,543,021",6/5/2023,8:01:00,6/5/2023,510,"ASB BJ,PROT","3,652",P3 BJ/SEAL ASB,"7,208",BMW Assembly,yes,1,8921,984,TIL,"1,693.00",0.00441,7.466,rpauser
23412,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,294","4,543,022",6/5/2023,8:01:48,6/5/2023,404,TURN & BURN,"1,632",P3 ETA TB076 TURN/BURN,"7,329",KA/DR/T1/CD4 Stud Mach,yes,1,8921,984,TIL,640,0,0,rpauser
23412,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,295","4,543,022",6/5/2023,8:01:48,6/5/2023,400,ROUGH MACH,"1,636",P3 BALL STUD RGH MACH'G,"7,329",KA/DR/T1/CD4 Stud Mach,no,1,,984,TIL,640,0.00546,3.494,rpauser
22413,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,296","4,543,367",6/5/2023,8:02:36,6/5/2023,404,TURN & BURN,"1,632",P3 ETA TB076 TURN/BURN,"7,329",KA/DR/T1/CD4 Stud Mach,yes,1,8921,984,TIL,359,0,0,rpauser
22413,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,297","4,543,367",6/5/2023,8:02:36,6/5/2023,400,ROUGH MACH,"1,636",P3 BALL STUD RGH MACH'G,"7,329",KA/DR/T1/CD4 Stud Mach,no,1,,984,TIL,359,0.00656,2.355,rpauser
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,467,298","4,543,366",6/5/2023,8:03:23,6/5/2023,410,"IND HRDN,TMPR","1,635",P3 BALL STUD IH&EDDY C,"7,329",KA/DR/T1/CD4 Stud Mach,yes,1,8921,984,TIL,716,0.00314,2.248,rpauser
22413,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,299","4,543,367",6/5/2023,8:04:11,6/5/2023,405,THREAD,"2,020",P3 IZPE AUTO THREADER,"7,329",KA/DR/T1/CD4 Stud Mach,yes,1,8921,984,TIL,721,0,0,rpauser
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,467,300","4,543,366",6/5/2023,8:04:59,6/5/2023,405,THREAD,"2,020",P3 IZPE AUTO THREADER,"7,329",KA/DR/T1/CD4 Stud Mach,yes,1,8921,984,TIL,"1,898.00",0,0,rpauser
23412,P708 KNUCKLE STUD MACH'D,BACKFLSH,"2,467,301","4,543,022",6/5/2023,8:05:47,6/5/2023,405,THREAD,"2,020",P3 IZPE AUTO THREADER,"7,329",KA/DR/T1/CD4 Stud Mach,yes,1,8921,984,TIL,481,0,0,rpauser
1273105-01,P708 KNUCKLE LBJ ASB,BACKFLSH,"2,467,302","4,543,368",6/5/2023,8:06:35,6/5/2023,535,ASB PROT & PACK,"3,623",P3 ASB DIAL-BALLJTS,"7,220",P708 Ball Joint Assembly,yes,1,8921,984,TIL,805,0.00255,2.053,rpauser
1273105-01,P708 KNUCKLE LBJ ASB,BACKFLSH,"2,467,303","4,543,368",6/5/2023,8:06:35,6/5/2023,520,ASB BALLJOINT,"3,623",P3 ASB DIAL-BALLJTS,"7,220",P708 Ball Joint Assembly,no,1,,984,TIL,805,0.00255,2.053,rpauser
22385,"G05 STUD M/C,HRDN,TMPR",BACKFLSH,"2,467,304","4,543,018",6/5/2023,8:07:23,6/5/2023,400,"MACHINE,THREAD,","1,628",P3 BALL STUD RGH MACH'G,"7,429",BMW Stud Mach/Ind Hrdn,yes,1,8921,984,TIL,"1,361.00",0.00883,12.018,rpauser
1682199,G05 FLCA MACH'D LH,BACKFLSH,"2,467,305","4,543,024",6/5/2023,8:08:11,6/5/2023,400,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,yes,1,8921,984,TIL,260,0.01006,2.616,rpauser
1682199,G05 FLCA MACH'D LH,BACKFLSH,"2,467,306","4,543,024",6/5/2023,8:08:11,6/5/2023,399,MACH'G LBR,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,no,1,,984,TIL,260,0.00503,1.308,rpauser
1682200,G05 FLCA MACH'D RH,BACKFLSH,"2,467,307","4,543,025",6/5/2023,8:08:59,6/5/2023,400,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,yes,1,8921,984,TIL,260,0.01006,2.616,rpauser
1682200,G05 FLCA MACH'D RH,BACKFLSH,"2,467,308","4,543,025",6/5/2023,8:08:59,6/5/2023,399,MACH'G LBR,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,no,1,,984,TIL,260,0.00503,1.308,rpauser
1652273,G05 FLTA MACH'D LH,BACKFLSH,"2,467,309","4,543,026",6/5/2023,8:09:47,6/5/2023,400,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,yes,1,8921,984,TIL,328,0.00836,2.742,rpauser
1652273,G05 FLTA MACH'D LH,BACKFLSH,"2,467,310","4,543,026",6/5/2023,8:09:47,6/5/2023,399,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,no,1,,984,TIL,328,0.00418,1.371,rpauser
1673198,BR167 FUCA RH,BACKFLSH,"2,467,322","4,543,033",6/5/2023,8:16:58,6/5/2023,499,LABOUR-2nd OPER,"3,655",P3 BUSHING/BJ ASB,"7,215",BR167 Mach'g & Assembly,no,1,,984,TIL,220,0.00779,1.714,rpauser
1652274,G05 FLTA MACH'D RH,BACKFLSH,"2,467,311","4,543,027",6/5/2023,8:10:35,6/5/2023,400,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,yes,1,8921,984,TIL,328,0.00836,2.742,rpauser
1652274,G05 FLTA MACH'D RH,BACKFLSH,"2,467,312","4,543,027",6/5/2023,8:10:35,6/5/2023,399,MACHINE COMPLETE,"1,609",P3 MAKINO A77-BMW STL,"7,202",BMW F15 STL MACH'G,no,1,,984,TIL,328,0.00418,1.371,rpauser
1662013,780B KNCKLE BRKT MACH RH,BACKFLSH,"2,467,313","4,543,028",6/5/2023,8:11:22,6/5/2023,400,MACHINE COMPLETE,"1,627",P3 KIWA HMC,"7,217",Toyota Knuckle Mach Asy,yes,1,8921,984,TIL,159,0.01196,1.902,rpauser
1662014,780B KNCKLE BRKT MACH LH,BACKFLSH,"2,467,314","4,543,029",6/5/2023,8:12:10,6/5/2023,400,MACHINE COMPLETE,"1,627",P3 KIWA HMC,"7,217",Toyota Knuckle Mach Asy,yes,1,8921,984,TIL,159,0.01196,1.902,rpauser
1662013,780B KNCKLE BRKT MACH RH,BACKFLSH,"2,467,315","4,543,028",6/5/2023,8:12:58,6/5/2023,400,MACHINE COMPLETE,"1,627",P3 KIWA HMC,"7,217",Toyota Knuckle Mach Asy,yes,1,8921,984,TIL,153,0.01196,1.83,rpauser
1662014,780B KNCKLE BRKT MACH LH,BACKFLSH,"2,467,316","4,543,029",6/5/2023,8:13:46,6/5/2023,400,MACHINE COMPLETE,"1,627",P3 KIWA HMC,"7,217",Toyota Knuckle Mach Asy,yes,1,8921,984,TIL,153,0.01196,1.83,rpauser
